date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:17	67526/67526	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2008:37:40%20GMT	https://htmldemo.zcubethemes.com/scholary/index.html	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/index.html	(from )
13:13:20	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Aug%202022%2009:24:09%20GMT	https://htmldemo.zcubethemes.com/robots.txt		(from )
13:13:21	766/766	---M--	200	added ('OK')	image/x-icon	date:Sat,%2023%20Jan%202021%2009:23:26%20GMT	https://htmldemo.zcubethemes.com/scholary/img/favicon.ico	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/img/favicon.ico	(from https://htmldemo.zcubethemes.com/scholary/index.html)
13:13:25	155845/155845	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2009:11:27%20GMT	https://htmldemo.zcubethemes.com/scholary/css/bootstrap.min.css	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/css/bootstrap.min.css	(from https://htmldemo.zcubethemes.com/scholary/index.html)
13:13:27	6951/6951	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2009:11:30%20GMT	https://htmldemo.zcubethemes.com/scholary/css/magnific-popup.css	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/css/magnific-popup.css	(from https://htmldemo.zcubethemes.com/scholary/index.html)
13:13:28	68606/68606	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2009:11:27%20GMT	https://htmldemo.zcubethemes.com/scholary/css/animate.min.css	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/css/animate.min.css	(from https://htmldemo.zcubethemes.com/scholary/index.html)
13:13:30	11114/11114	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2009:11:29%20GMT	https://htmldemo.zcubethemes.com/scholary/css/dripicons.css	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/css/dripicons.css	(from https://htmldemo.zcubethemes.com/scholary/index.html)
13:13:31	1776/1776	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2009:11:33%20GMT	https://htmldemo.zcubethemes.com/scholary/css/slick.css	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/css/slick.css	(from https://htmldemo.zcubethemes.com/scholary/index.html)
13:13:33	3754/3754	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2009:11:31%20GMT	https://htmldemo.zcubethemes.com/scholary/css/meanmenu.css	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/css/meanmenu.css	(from https://htmldemo.zcubethemes.com/scholary/index.html)
13:13:34	500427/500427	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202022%2011:21:36%20GMT	https://htmldemo.zcubethemes.com/scholary/fontawesome/css/all.min.css	C:/My%20Web%20Sites/v&v%20school/htmldemo.zcubethemes.com/scholary/fontawesome/css/all.min.css	(from https://htmldemo.zcubethemes.com/scholary/index.html)
